#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Entrez le mot de passe correct ci-dessus, puis saisissez les caractères indiqués par l'image ci-dessous.
#From:regenerate,Regenerate
regenerate,Générer à nouveau
#From:YM128,Invalid Primary DNS Address
YM128,Principale adresse de serveur DNS incorrecte
#From:GW_NAT_PORT_TRIGGER_PORT_RANGE_EMPTY_INVALID,%s of '%s' can not be empty.
GW_NAT_PORT_TRIGGER_PORT_RANGE_EMPTY_INVALID,%s de %s ne peut pas être vide.
#From:KR72,StreamEngine&trade; technology is applied to media streams that are passed between the WAN side of the upstream router and clients of the bridge.
KR72,La technologie StreamEngine&trade; est appliquée aux flux de support passés entre le côté WAN du routeur en amont et les clients du pont.
#From:YM177,passwords do not match, please re-enter
YM177,Les mots de passe ne concordent pas. Recommencez.
#From:YM82,Host 1 IP Range
YM82,Plage d'adresses IP de l'hôte 1
#From:YM119,Invalid Authentication Timeout.
YM119,Délai d'authentification incorrect.
#From:KR70,The bridge still has the ability to analyze traffic on the WAN side of the upstream router so as to determine the speed of its WAN connection.
KR70,Le pont a toujours la capacité à analyser le trafic sur le côté WAN du routeur en amont de façon à déterminer la vitesse de sa connexion WAN.
#From:YM161,The IP address and, where appropriate, port number of the computer to which a network connection has been made.
YM161,L'adresse IP et, si approprié, le numéro de port de l'ordinateur avec lequel une connexion réseau a été établie.
#From:GW_DHCP_SERVER_POOL_SIZE_INVALID,DHCP server pool size is too big (must be no more than 256 addresses).
GW_DHCP_SERVER_POOL_SIZE_INVALID,La taille du groupe de serveurs DHCP est trop grande (elle ne doit pas dépasser 256 adresses).
#From:.sdi.s4b,Established
.sdi.s4b,Établi
#From:ZM8,DNS Lookup Authentication Server
ZM8,Recherche DNS  Serveur d'authentification
#From:YM129,Invalid Secondary DNS Address
YM129,Adresse DNS secondaire incorrecte
#From:help370,64-bit ASCII keys are up to 5 characters in length (DMODE is a valid string of 5 characters for 64-bit encryption.)
help370,Les touches ASCII 64 bits ont 5 caractères de long (DMODE est une chaîne valide de 5 caractères pour le chiffrement 64 bits).
#From:LY29,Locking the wireless security settings prevents the settings from being changed by any new external registrar using its PIN. Devices can still be added to the wireless network using Wi-Fi Protected Setup. It is still possible to change wireless network settings with <a href="../Basic/Wireless.shtml" shape="rect">Manual Wireless Network Setup</a>, <a href="../Basic/Wizard_WLAN.shtml" shape="rect">Wireless Network Setup Wizard</a>, or an existing external WLAN Manager Registrar.
LY29,Le verrouillage des paramètres de sécurité sans fil empêche toute modification des paramètres par tout nouveau registre externe utilisant son PIN. Les périphériques peuvent toujours être ajoutés au réseau sans fil à l'aide de WPS. Il est toujours possible de modifier les paramètres réseau sans fil avec la <a href="../Basic/Wireless.shtml" shape="rect">configuration manuelle du réseau sans fil</a>, l'<a href="../Basic/Wizard_WLAN.shtml" shape="rect">assistant de configuration de réseau sans fil</a> ou un registre externe pour l'administration des réseaux locaux sans fil (WLAN).
#From:GW_XML_CONFIG_WRITE_WARN,Warning while writing configuration file: %s
GW_XML_CONFIG_WRITE_WARN,Attention pendant l'écriture du fichier de configuration : %s
#From:GW_FIREWALL_NAME_INVALID,Name '%s' is already used
GW_FIREWALL_NAME_INVALID,Le nom %s est déjà utilisé.
#From:GW_WISH_RULES_HOST2_IP,'%s': Host 2 IP start, %v, must be less than host 2 IP end, %v
GW_WISH_RULES_HOST2_IP,%s : La valeur de début de l'adresse IP de l'hôte 2 (%v) doit être inférieure à celle de fin (%v)
#From:TA2,Product Page
TA2,Page produit
#From:LS314,Connect
LS314,Connecter
#From:.vs.traffictype,Traffic Type
.vs.traffictype,Type de trafic
#From:GW_DYNDNS_TIMEOUT_TOO_BIG_INVALID,The timeout value cannot be greater than 8760.
GW_DYNDNS_TIMEOUT_TOO_BIG_INVALID,La valeur de temporisation ne peut pas être supérieure à 8760.
#From:KR43,Please enter the PIN of your wireless device, then click on the Connect button below.
KR43,Entrez le PIN de votre périphérique sans fil, puis cliquez sur le bouton de connexion ci-dessous.
#From:KR51,Select this option if your wireless device supports Wi-Fi Protected Setup
KR51,Sélectionnez cette option si votre périphérique sans fil prend en charge WPS (Wi-Fi Protected Setup).
#From:GW_WAN_PPTP_GATEWAY_IN_SUBNET_INVALID,PPTP Gateway IP address %v must be within the WAN subnet.
GW_WAN_PPTP_GATEWAY_IN_SUBNET_INVALID,L'adresse IP de passerelle PPTP %v doit se situer dans le sous-réseau WAN.
#From:help837,Click the <span class="button_ref">Save to Windows Connect Now</span> button, and the WCN technology will capture the wireless network settings from your router and save them on your PC.
help837,Cliquez sur le bouton d'% %enregistrement dans Windows Connect Now% % et la technologie WCN va capturer les paramètres réseau sans fil à partir de votre routeur et les enregistrer sur votre PC.
#From:KR49,Please Select Configuration Method to set up your Wireless Network
KR49,Sélectionnez la méthode de configuration pour votre réseau sans fil.
#From:.open,Open
.open,Ouvert
#From:.aa.bsecure.news,News
.aa.bsecure.news,Actualités
#From:YM34,Update
YM34,Mettre à jour
#From:.advwls,Advanced Wireless
.advwls,Paramètres avancés - Connexion sans fil
#From:GW_DHCP_SERVER_RESERVATION_DISABLED_OUT_OF_POOL_WARNING,<warn>DHCP Reservation %v has been disabled because the DHCP pool is too small.</warn>
GW_DHCP_SERVER_RESERVATION_DISABLED_OUT_OF_POOL_WARNING,La <warn>réservation DHCP %v a été désactivée parce que le groupe DHCP est trop petit.</warn>
#From:GW_MAC_FILTER_ALL_LOCKED_OUT_INVALID,MAC Filter settings will lockout all machines. This is not allowed.
GW_MAC_FILTER_ALL_LOCKED_OUT_INVALID,Les paramètres de filtre MAC vont bloquer toutes les machines. Cela n'est pas autorisé.
#From:.wepkey4,WEP Key 4
.wepkey4,Clé WEP 4
#From:YM98,optional
YM98,(facultatif)
#From:.aa.bsecure.search_engine,Search Engine
.aa.bsecure.search_engine,Moteur de recherche
#From:KR47,WPA Only"
KR47,WPA uniquement"
#From:bws.msg.WEP.3,If you choose the WEP security option this device will <strong>ONLY</strong> operate in <strong>Legacy Wireless mode (802.11B/G)</strong>. This means you will <strong>NOT</strong> get 11N performance due to the fact that WEP is not supported by Draft 11N specification.
bws.msg.WEP.3,Si vous choisissez l'option de sécurité WEP, ce périphérique fonctionnera <strong>UNIQUEMENT</strong> en <strong>mode sans fil hérité (802.11B/G)</strong>. Vous N'obtiendrez <strong>PAS</strong> les performances 11N car WEP n'est pas pris en charge par la spécification  Draft 11N.
#From:GW_SMTP_LAN_ADDRESS_CONFLICT_WARNING,<warn>Email server address conflicts with router LAN address - email will be disabled.</warn>
GW_SMTP_LAN_ADDRESS_CONFLICT_WARNING,<warn>L'adresse de serveur d'e-mail est en conflit avec l'adresse LAN du routeur  l'e-mail va être désactivé.</warn>
#From:GW_LAN_IP_MODE_INVALID,LAN IP mode is invalid
GW_LAN_IP_MODE_INVALID,Le mode IP LAN est incorrect.
#From:GW_WAN_BIGPOND_SERVER_NOTSTD15,The specified Big Pond server is not a proper domain name or IP address.
GW_WAN_BIGPOND_SERVER_NOTSTD15,Le serveur Big Pond spécifié n'est pas un nom de domaine correct ou une adresse IP correcte.
#From:ZM18,Once your router is configured the way you want it, you can save the configuration settings to a configuration file.
ZM18,Une fois votre routeur configuré, vous pouvez enregistrer ses paramètres dans un fichier de configuration.
#From:GW_WLAN_FRAGMENT_THRESHOLD_INVALID,Fragmentation threshold should be between 256 and 2346.
GW_WLAN_FRAGMENT_THRESHOLD_INVALID,Le seuil de fragmentation doit se situer entre 256 et 2346.
#From:GW_LAN_DOMAIN_NAME_INVALID,Domain name given is invalid
GW_LAN_DOMAIN_NAME_INVALID,Le nom de domaine fourni est incorrect.
#From:.wifisc.overlap,Session Overlap Detected
.wifisc.overlap,Chevauchement de session détecté
#From:LW62,The wizard will either display the wireless network settings to guide you through manual configuration, prompt you to enter the PIN for the device, or ask you to press the configuration button on the device. If the device supports Wi-Fi Protected Setup and has a configuration button, you can add it to the network by pressing the configuration button on the device and then the on the router within 60 seconds. The status LED on the router will flash three times if the device has been successfully added to the network.
LW62,L'assistant va afficher les paramètres du réseau sans fil pour vous guider à travers la configuration manuelle, vous inviter à entrer le PIN du périphérique ou vous demander d'appuyer sur le bouton de configuration sur votre périphérique. Si le périphérique prend en charge WPS (Wi-Fi Protected Setup) et est équipé d'un bouton de configuration, vous pouvez l'ajouter au réseau en appuyant sur ce bouton, puis sur le routeur dans les 60 secondes. Si le périphérique a été ajouté au réseau, le voyant d'état du routeur clignote trois fois.
#From:KR23,Process stopped. You may click on the Cancel button below to return to the beginning of the wizard page and restart the process
KR23,Processus arrêté. Vous pouvez cliquer sur le bouton d'annulation ci-dessous pour revenir au début de la page de l'assistant et redémarrer le processus.
#From:.aa.bsecure.pornography,Pornography
.aa.bsecure.pornography,Pornographie
#From:GW_NAT_NAME_INVALID,Name can not be empty string.
GW_NAT_NAME_INVALID,Le nom ne peut pas être une chaîne vide.
#From:bwl.NSS,Number of Spatial Streams
bwl.NSS,Nombre de flux spatiaux
#From:YM108,Invalid PPTP server IP address
YM108,Adresse IP du serveur PPTP incorrecte
#From:YM19,Destination IP End address should not be in LAN subnet
YM19,L'adresse IP cible de fin ne doit pas être dans le sous-réseau LAN
#From:WIFISC_AP_PROXY_PROCESS_COMPLETE,STA with MAC (%m) registered in
WIFISC_AP_PROXY_PROCESS_COMPLETE,Enregistrement de STA avec MAC (%m) dans
#From:GW_NAT_ENTRY_DUPLICATED_INVALID,Record '%s' is duplicate of '%s'.
GW_NAT_ENTRY_DUPLICATED_INVALID,L'enregistrement %s est un double de %s.
#From:GW_NAT_PORT_FORWARD_CONFLICT_INVALID,'%s' [%s:%s] conflicts with '%s'[%s:%s] on different IP Addresses.
GW_NAT_PORT_FORWARD_CONFLICT_INVALID,%s [%s:%s] est en conflit avec %s [%s:%s] sur différentes adresses IP.
#From:LW27,If you would like to utilize our easy to use Web-based Wizards to assist you in connecting your new D-Link Systems Router to the Internet, click on the button below.
LW27,Si vous souhaitez utiliser nos assistants Web pour connecter votre nouveau routeur D-Link à Internet, cliquez sur le bouton ci-dessous.
#From:YM38,Are you sure you want to update
YM38,Voulez-vous vraiment mettre à jour
#From:YM185,NTP Server is not configured.
YM185,Le serveur NTP n'est pas configuré.
#From:LY2,Wi-Fi Protected Setup
LY2,Wi-Fi Protected Setup
#From:KR30,PIN(2nd half) Mismatch Detected
KR30,Non-concordance PIN (2e moitié) détectée
#From:KR31,Session Over
KR31,Session terminée
#From:.init_fail,Init failed
.init_fail,Échec d'initialisation
#From:YM68,source starting port should be between 0 and 65535 inclusive.
YM68,(la valeur de début du port source doit se situer entre 0 et 65535 inclus).
#From:sd.macaddr,MAC Address
sd.macaddr,Adresse MAC
#From:KR12,WAN Port Mode
KR12,Mode port WAN
#From:help366,A method of encrypting data for wireless communication intended to provide the same level of privacy as a wired network. WEP is not as secure as WPA encryption. To gain access to a WEP network, you must know the key. The key is a string of characters that you create. When using WEP, you must determine the level of encryption. The type of encryption determines the key length. 128-bit encryption requires a longer key than 64-bit encryption. Keys are defined by entering in a string in HEX (hexadecimal - using characters 0-9, A-F) or ASCII (American Standard Code for Information Interchange - alphanumeric characters) format. ASCII format is provided so you can enter a string that is easier to remember. The ASCII string is converted to HEX for use over the network. Four keys can be defined so that you can change keys easily. A default key is selected for use on the network.
help366,Une méthode de chiffrement des données pour la communication sans fil, conçue pour fournir le même niveau de confidentialité quun réseau câblé. Le protocole WEP nest pas aussi sûr que le chiffrement WPA. Pour accéder à un réseau WEP, vous devez en connaître la clé. Cette clé est une chaîne de caractères que vous créez. En cas de recours au chiffrement WEP, vous devez déterminer le niveau de chiffrement. Le type de chiffrement détermine la longueur de la clé. Un chiffrement sur 128 bits requiert une clé plus longue quun chiffrement sur 64 bits. Les clés sont définies via la saisie dune chaîne au format HEX (format hexadécimal se servant des caractères compris entre 0 et 9, et A et F) ou ASCII (American Standard Code for Information Interchange - caractères alphanumériques). Le format ASCII permet de définir une chaîne de caractères plus facile à retenir. La chaîne ACSII est convertie au format HEX pour être utilisée sur le réseau. Vous pouvez définir quatre clés pour en faciliter léchange. Une clé par défaut est sélectionnée pour le réseau.
#From:WIFISC_AP_REGISTRATION_COMPLETE,AP registered to Registrar (%s) through %s
WIFISC_AP_REGISTRATION_COMPLETE,Point d'accès enregistré dans le registre (%s) via %s
#From:aw.TPC,TPC Max Gain
aw.TPC,Gain maximum TPC
#From:aw.WDSMAC,WDS AP MAC Address
aw.WDSMAC,Adresse MAC du point d'accès WDS
#From:YM62,Remote end port should be between 0 and 65535 inclusive.
YM62,La valeur de fin du port distant doit se situer entre 0 et 65535 (inclus).
#From:aw.erpe.h,Extra protection for neighboring 11b wireless networks. Turn this option off to reduce the adverse effect of legacy wireless networks on 802.11ng performance.
